forest_nr,site_name,type,location,tree_nr,sp_richness,coverage_perc,tree_circum_cm,coordinate_lat,coordinate_long,notes
3,Björkhagen,urban,edge,3,2,40,108,59.288574,18.122101,"mainly foliose lichens, flats and preschool by edge, fairly open edge, area is used for walking (some non-paved paths)"
3,Björkhagen,urban,interior,1,2,35,100,59.288828,18.123621,"mix of crustose and foliose lichens, fairly open/ not super dense, mainly pine trees"
3,Björkhagen,urban,interior,2,2,15,72,59.288828,18.123733,"mix of crustose and foliose lichens, fairly open/ not super dense, mainly pine trees"
3,Björkhagen,urban,interior,3,1,3,94,59.288959,18.121364,"only crustose lichens, fairly open/ not super dense, mainly pine trees"
4,Bagarmossen,urban,edge,1,1,10,74,59.278308,18.141398,"only crustose lichens, some big exposed areas of bedrock but plot doesn't include it or barely includes it"
4,Bagarmossen,urban,edge,2,4,25,154,59.278367,18.141533,"mainly foliose lichens, some big exposed areas of bedrock but plot doesn't include it or barely includes it"
4,Bagarmossen,urban,edge,3,3,15,103,59.278301,18.141451,"mainly crustose lichens, some big exposed areas of bedrock but plot doesn't include it or barely includes it"
4,Bagarmossen,urban,interior,1,3,45,180,59.278642,18.143133,"mainly pine and spruce trees and some deciduous trees, mix of foliose and crustose lichens"
4,Bagarmossen,urban,interior,2,3,40,137,59.278887,18.142849,"tree has deep crevaces, mix of foliose and crustose lichens, mainly pine and spruce trees and some deciduous trees"
4,Bagarmossen,urban,interior,3,2,25,166,59.278925,18.142764,"tree has deep crevaces, mainly pine and spruce trees and some deciduous trees"
